Feature Name,Type
Symptom_Memory_short,boolean
Symptom_Memory_long,boolean
Symptom_Memory_no_new_memories,boolean
Symptom_Memory_forget_tasks,boolean
Symptom_Memory_other,boolean
Symptom_Cognitive_Functioning_thinking,boolean
Symptom_Cognitive_Functioning_executive,boolean
Symptom_Cognitive_Functioning_problemsolving,boolean
Symptom_Cognitive_Functioning_slowedthoughts,boolean
Symptom_Cognitive_Functioning_fastthoughts,boolean
Symptom_Cognitive_Functioning_agnosia,boolean
Symptom_Cognitive_Functioning_attentionconcentration,boolean
Symptom_Cognitive_Functioning_other,boolean
Symptom_Speech_difficulty_finding_words,boolean
Symptom_Speech_difficulty_communicating_verbally,boolean
Symptom_Speech_difficulty_reading_processing_text,boolean
Symptom_Speech_difficulty_understanding_others_speech,boolean
Symptom_Speech_difficulty_speaking_complete_sentences,boolean
Symptom_Speech_speaking_unrecognizable_words,boolean
Symptom_Speech_difficulty_communicating_writing,boolean
Symptom_Speech_changes_to_secondary_languages,boolean
Symptom_Speech_other,boolean
Symptom_Headaches_behind_eyes,boolean
Symptom_Headaches_stiff_neck,boolean
Symptom_Headaches_brain_pressure,boolean
Symptom_Headaches_diffuse,boolean
Symptom_Headaches_temples,boolean
Symptom_Headaches_base_of_skull,boolean
Symptom_Headaches_after_mental_exertion,boolean
Symptom_Headaches_migraines,boolean
Symptom_Headaches_other,boolean
Symptom_Headaches_brain_warmth,boolean
Symptom_Loss_of_smell,boolean
Symptom_Loss_of_taste,boolean
Symptom_Altered_taste,boolean
Symptom_Phantom_smell,boolean
Symptom_Altered_smell,boolean
Symptom_Phantom_taste,boolean
Symptom_Heightened_smell,boolean
Symptom_Heightened_taste,boolean
Symptom_Vibrating_sensations,boolean
Symptom_Tremors,boolean
Symptom_Insomnia,boolean
Symptom_Night_sweats,boolean
Symptom_Awakened_cannot_breathe,boolean
Symptom_Vivid_dreams,boolean
Symptom_Nightmares,boolean
Symptom_Restless_leg,boolean
Symptom_Lucid_dreams,boolean
Symptom_Sleep_apnea,boolean
Symptom_Sleep_other,boolean
Symptom_Difficulty_falling_asleep,boolean
Symptom_Waking_up_early,boolean
Symptom_Waking_up_in_night,boolean
Symptom_Hallucinations_visual,boolean
Symptom_Hallucinations_auditory,boolean
Symptom_Hallucinations_tactile,boolean
Symptom_Hallucinations_other,boolean
Symptom_Sensations_skin_burning_no_rash,boolean
Symptom_Sensations_numbness_loss_sensation,boolean
Symptom_Sensations_numbness_one_sided_weakness,boolean
Symptom_Sensations_coldness,boolean
Symptom_Sensations_tingling_prickling,boolean
Symptom_Sensations_electrical_zaps,boolean
Symptom_Sensations_weakness,boolean
Symptom_Sensations_facial_pressure_left,boolean
Symptom_Sensations_facial_pressure_right,boolean
Symptom_Sensations_facial_pressure_other,boolean
Symptom_Sensations_facial_paralysis,boolean
Symptom_Temp_lability,boolean
Symptom_Heat_intolerance,boolean
Symptom_Merged_temperature_other_temp_issues,boolean
Symptom_Elevated_temp,boolean
Symptom_Fever,boolean
Symptom_Low_temp,boolean
Symptom_Chills_flushing_sweats,boolean
Symptom_Tachycardia,boolean
Symptom_Bradycardia,boolean
Symptom_Heart_palpitations,boolean
Symptom_Bulging_veins,boolean
Symptom_Fainting,boolean
Symptom_Dizziness_vertigo,boolean
Symptom_Neuralgia,boolean
Symptom_Gasping_air_normal_oxygen,boolean
Symptom_New_anaphylaxis,boolean
Symptom_Acute_confusion,boolean
Symptom_Slurring_words,boolean
Symptom_Constipation,boolean
Symptom_Diarrhea,boolean
Symptom_Vomiting,boolean
Symptom_Nausea,boolean
Symptom_Loss_of_appetite,boolean
Symptom_Acid_reflux,boolean
Symptom_Dry_cough,boolean
Symptom_Cough_with_mucus,boolean
Symptom_Coughing_up_blood,boolean
Symptom_Shortness_of_breath,boolean
Symptom_Tightness_of_chest,boolean
Symptom_Sneezing,boolean
Symptom_Runny_nose,boolean
Symptom_Pain_burning_chest,boolean
Symptom_Rattling_breath,boolean
Symptom_Sore_throat,boolean
Symptom_Respiratory_other,boolean
Symptom_Hearing_loss,boolean
Symptom_Tinnitus,boolean
Symptom_Eye_vision_symptoms,boolean
Symptom_Reproductive_all_menstrual_issues,boolean
Symptom_Bladder_control,boolean
Symptom_Peeling_skin,boolean
Symptom_Petechiae,boolean
Symptom_Covid_toes,boolean
Symptom_Dermatographia,boolean
Symptom_Skin_rashes,boolean
Symptom_Skin_Allergy_other,boolean
Symptom_Muscle_spasms,boolean
Symptom_Muscle_aches,boolean
Symptom_Joint_pain,boolean
Symptom_Bone_ache_burning,boolean
Symptom_Inability_to_yawn,boolean
Symptom_Difficulty_swallowing,boolean
Symptom_Changes_in_voice,boolean
Symptom_Extreme_thirst,boolean
Symptom_Ear_sensitivity_to_noise,boolean
Symptom_Ear_ear_pain,boolean
Symptom_Ear_changes_to_ear_canal,boolean
Symptom_Ear_numbness,boolean
Symptom_Other_ear_hearing_symptoms,boolean
Symptom_Eye_Vision_blurred_vision,boolean
Symptom_Eye_Vision_sensitivity_to_light,boolean
Symptom_Eye_Vision_dry_eyes,boolean
Symptom_Eye_Vision_eye_pressure_pain,boolean
Symptom_Eye_Vision_floaters,boolean
Symptom_Eye_Vision_double_vision,boolean
Symptom_Eye_Vision_tunnel_vision,boolean
Symptom_Eye_Vision_loss_of_vision,boolean
Symptom_Eye_Vision_pink_eye,boolean
Symptom_Eye_Vision_bloodshot_eyes,boolean
Symptom_Eye_Vision_redness_outside_eye,boolean
Symptom_Eye_Vision_seeing_things_peripheral_vision,boolean
Symptom_Eye_Vision_other_eye_issues,boolean
Symptom_Reproductive_early_menopause,boolean
Symptom_Reproductive_abnormally_heavy_periods_clotting,boolean
Symptom_Reproductive_testicle_penis_pain_changes,boolean
Symptom_Reproductive_sexual_dysfunction,boolean
Symptom_Reproductive_postmenopausal_bleeding,boolean
Symptom_Reproductive_other_urinary_issues,boolean
Symptom_Reproductive_other_menstrual_issues,boolean
Symptom_Reproductive_abnormally_irregular_periods,boolean
Symptom_Gastrointestinal_feeling_full_quickly_eating,boolean
Symptom_Gastrointestinal_abdominal_pain,boolean
Symptom_Gastrointestinal_hyperactive_bowel,boolean
Symptom_SkinAllergy_itchy_skin,boolean
Symptom_SkinAllergy_itchy_eyes,boolean
Symptom_SkinAllergy_heighted_reaction_allergies,boolean
Symptom_SkinAllergy_brittle_nail,boolean
Symptom_SkinAllergy_other_itchy,boolean
Symptom_SkinAllergy_shingles,boolean
Symptom_PEM,boolean
Symptom_Fatigue,boolean
Symptom_Change_sensitivity_to_meds,boolean
Symptom_New_allergies,boolean
